Columna,Tipo físico,Tipo según Python,Valores únicos,Nulos
CODDEPTO,int64,número,24,0
DEPARTAMENTO,object,texto,24,0
CODMPIO,int64,número,319,0
MUNICIPIO,object,texto,305,0
2001,float64,número,149,155
2002,float64,número,126,151
2003,float64,número,175,130
2004,float64,número,165,129
2005,float64,número,143,129
2006,float64,número,147,120
2007,float64,número,151,124
2008,float64,número,147,113
2009,float64,número,150,102
2010,float64,número,147,112
2011,float64,número,145,114
2012,float64,número,128,107
2013,float64,número,114,116
2014,float64,número,127,115
2015,float64,número,189,127
2016,float64,número,181,136
2017,float64,número,186,133
2018,float64,número,187,132
2019,float64,número,174,143
2020,float64,número,172,147
2021,float64,número,181,138
2022,float64,número,183,134
2023,float64,número,181,138
2024,float64,número,180,139
