Prueba,Campo,Resultado,Afectados,Porcentaje
Valores nulos,2001,155 valores nulos (48.59%),155,48.59
Valores nulos,2002,151 valores nulos (47.34%),151,47.34
Valores nulos,2003,130 valores nulos (40.75%),130,40.75
Valores nulos,2004,129 valores nulos (40.44%),129,40.44
Valores nulos,2005,129 valores nulos (40.44%),129,40.44
Valores nulos,2006,120 valores nulos (37.62%),120,37.62
Valores nulos,2007,124 valores nulos (38.87%),124,38.87
Valores nulos,2008,113 valores nulos (35.42%),113,35.42
Valores nulos,2009,102 valores nulos (31.97%),102,31.97
Valores nulos,2010,112 valores nulos (35.11%),112,35.11
Valores nulos,2011,114 valores nulos (35.74%),114,35.74
Valores nulos,2012,107 valores nulos (33.54%),107,33.54
Valores nulos,2013,116 valores nulos (36.36%),116,36.36
Valores nulos,2014,115 valores nulos (36.05%),115,36.05
Valores nulos,2015,127 valores nulos (39.81%),127,39.81
Valores nulos,2016,136 valores nulos (42.63%),136,42.63
Valores nulos,2017,133 valores nulos (41.69%),133,41.69
Valores nulos,2018,132 valores nulos (41.38%),132,41.38
Valores nulos,2019,143 valores nulos (44.83%),143,44.83
Valores nulos,2020,147 valores nulos (46.08%),147,46.08
Valores nulos,2021,138 valores nulos (43.26%),138,43.26
Valores nulos,2022,134 valores nulos (42.01%),134,42.01
Valores nulos,2023,138 valores nulos (43.26%),138,43.26
Valores nulos,2024,139 valores nulos (43.57%),139,43.57
