Prueba,Campo,Resultado,Afectados,Porcentaje
Valores extremos según IQR,2001,20 valores por encima de Q3 + 1.5×IQR; requiere revisión,20,6.27
Valores extremos según IQR,2002,23 valores por encima de Q3 + 1.5×IQR; requiere revisión,23,7.21
Valores extremos según IQR,2003,21 valores por encima de Q3 + 1.5×IQR; requiere revisión,21,6.58
Valores extremos según IQR,2004,21 valores por encima de Q3 + 1.5×IQR; requiere revisión,21,6.58
Valores extremos según IQR,2005,25 valores por encima de Q3 + 1.5×IQR; requiere revisión,25,7.84
Valores extremos según IQR,2006,22 valores por encima de Q3 + 1.5×IQR; requiere revisión,22,6.9
Valores extremos según IQR,2007,22 valores por encima de Q3 + 1.5×IQR; requiere revisión,22,6.9
Valores extremos según IQR,2008,26 valores por encima de Q3 + 1.5×IQR; requiere revisión,26,8.15
Valores extremos según IQR,2009,35 valores por encima de Q3 + 1.5×IQR; requiere revisión,35,10.97
Valores extremos según IQR,2010,27 valores por encima de Q3 + 1.5×IQR; requiere revisión,27,8.46
Valores extremos según IQR,2011,30 valores por encima de Q3 + 1.5×IQR; requiere revisión,30,9.4
Valores extremos según IQR,2012,25 valores por encima de Q3 + 1.5×IQR; requiere revisión,25,7.84
Valores extremos según IQR,2013,31 valores por encima de Q3 + 1.5×IQR; requiere revisión,31,9.72
Valores extremos según IQR,2014,31 valores por encima de Q3 + 1.5×IQR; requiere revisión,31,9.72
Valores extremos según IQR,2015,37 valores por encima de Q3 + 1.5×IQR; requiere revisión,37,11.6
Valores extremos según IQR,2016,20 valores por encima de Q3 + 1.5×IQR; requiere revisión,20,6.27
Valores extremos según IQR,2017,18 valores por encima de Q3 + 1.5×IQR; requiere revisión,18,5.64
Valores extremos según IQR,2018,21 valores por encima de Q3 + 1.5×IQR; requiere revisión,21,6.58
Valores extremos según IQR,2019,23 valores por encima de Q3 + 1.5×IQR; requiere revisión,23,7.21
Valores extremos según IQR,2020,22 valores por encima de Q3 + 1.5×IQR; requiere revisión,22,6.9
Valores extremos según IQR,2021,20 valores por encima de Q3 + 1.5×IQR; requiere revisión,20,6.27
Valores extremos según IQR,2022,23 valores por encima de Q3 + 1.5×IQR; requiere revisión,23,7.21
Valores extremos según IQR,2023,20 valores por encima de Q3 + 1.5×IQR; requiere revisión,20,6.27
Valores extremos según IQR,2024,18 valores por encima de Q3 + 1.5×IQR; requiere revisión,18,5.64
